lineup_ids,lineup_names,MINUTES
203473-1628381-1628416-1628989-1629027,D. Dedmon-J. Collins-T. Dorsey-K. Huerter-T. Young,7.0
203473-1627752-1627761-1629016-1629027,D. Dedmon-T. Prince-D. Bembry-O. Spellman-T. Young,7.0
1626147-1627752-1628381-1628989-1629027,J. Anderson-T. Prince-J. Collins-K. Huerter-T. Young,7.0
202391-203458-1626147-1627761-1628381,J. Lin-A. Len-J. Anderson-D. Bembry-J. Collins,7.0
202391-203458-1627752-1627761-1628381,J. Lin-A. Len-T. Prince-D. Bembry-J. Collins,7.0
202391-203473-1628381-1628416-1628989,J. Lin-D. Dedmon-J. Collins-T. Dorsey-K. Huerter,7.0
202391-203145-203473-1627752-1629016,J. Lin-K. Bazemore-D. Dedmon-T. Prince-O. Spellman,7.0
202391-203101-1627816-1628416-1628989,J. Lin-M. Plumlee-A. Poythress-T. Dorsey-K. Huerter,7.0
203145-203458-203473-1627752-1629027,K. Bazemore-A. Len-D. Dedmon-T. Prince-T. Young,7.0
203145-1626147-1627761-1628381-1629027,K. Bazemore-J. Anderson-D. Bembry-J. Collins-T. Young,7.0
1627752-1627761-1628381-1628989-1629027,T. Prince-D. Bembry-J. Collins-K. Huerter-T. Young,7.0
1713-1627738-1627761-1629121-1629353,V. Carter-D. Davis-D. Bembry-J. Adams-I. Humphries,7.0
1713-202391-1627761-1627816-1628989,V. Carter-J. Lin-D. Bembry-A. Poythress-K. Huerter,7.0
1713-202391-203145-203458-1628989,V. Carter-J. Lin-K. Bazemore-A. Len-K. Huerter,7.0
1713-202391-203145-203458-1627752,V. Carter-J. Lin-K. Bazemore-A. Len-T. Prince,7.0
1713-203145-203458-1626147-1627761,V. Carter-K. Bazemore-A. Len-J. Anderson-D. Bembry,7.0
1713-203145-203458-1626147-1629121,V. Carter-K. Bazemore-A. Len-J. Anderson-J. Adams,7.0
203458-1626147-1627761-1627816-1629027,A. Len-J. Anderson-D. Bembry-A. Poythress-T. Young,6.0
203458-1627752-1627761-1629016-1629027,A. Len-T. Prince-D. Bembry-O. Spellman-T. Young,6.0
203458-1627752-1628989-1629016-1629027,A. Len-T. Prince-K. Huerter-O. Spellman-T. Young,6.0
203473-1626147-1627752-1628381-1629027,D. Dedmon-J. Anderson-T. Prince-J. Collins-T. Young,6.0
202391-203458-1627752-1628381-1628989,J. Lin-A. Len-T. Prince-J. Collins-K. Huerter,6.0
202391-203145-1627761-1627816-1629016,J. Lin-K. Bazemore-D. Bembry-A. Poythress-O. Spellman,6.0
202391-203145-203473-1627761-1627816,J. Lin-K. Bazemore-D. Dedmon-D. Bembry-A. Poythress,6.0
202391-203145-1627752-1627761-1629016,J. Lin-K. Bazemore-T. Prince-D. Bembry-O. Spellman,6.0
203145-203458-1627761-1629121-1629353,K. Bazemore-A. Len-D. Bembry-J. Adams-I. Humphries,6.0
203145-203458-1627752-1627761-1629016,K. Bazemore-A. Len-T. Prince-D. Bembry-O. Spellman,6.0
203145-203473-1627752-1627761-1629016,K. Bazemore-D. Dedmon-T. Prince-D. Bembry-O. Spellman,6.0
203145-1626147-1627761-1628989-1629016,K. Bazemore-J. Anderson-D. Bembry-K. Huerter-O. Spellman,6.0
203145-1627752-1627761-1628381-1629027,K. Bazemore-T. Prince-D. Bembry-J. Collins-T. Young,6.0
203145-1627752-1627761-1629016-1629027,K. Bazemore-T. Prince-D. Bembry-O. Spellman-T. Young,6.0
203145-1627752-1628381-1629016-1629027,K. Bazemore-T. Prince-J. Collins-O. Spellman-T. Young,6.0
1713-203458-1627761-1628416-1629027,V. Carter-A. Len-D. Bembry-T. Dorsey-T. Young,6.0
1713-1627761-1627816-1629121-1629168,V. Carter-D. Bembry-A. Poythress-J. Adams-B. Johnson,6.0
1713-203473-1627772-1628989-1629027,V. Carter-D. Dedmon-D. Hamilton-K. Huerter-T. Young,6.0
1713-202391-203458-1627752-1628989,V. Carter-J. Lin-A. Len-T. Prince-K. Huerter,6.0
1713-202391-203145-203473-1627752,V. Carter-J. Lin-K. Bazemore-D. Dedmon-T. Prince,6.0
1713-203145-203458-1627761-1628989,V. Carter-K. Bazemore-A. Len-D. Bembry-K. Huerter,6.0
1713-203145-203458-1627752-1629121,V. Carter-K. Bazemore-A. Len-T. Prince-J. Adams,6.0
1713-203145-1627738-1627761-1629121,V. Carter-K. Bazemore-D. Davis-D. Bembry-J. Adams,6.0
1713-203101-1627752-1627761-1629027,V. Carter-M. Plumlee-T. Prince-D. Bembry-T. Young,6.0
203458-1627752-1627761-1629016-1629121,A. Len-T. Prince-D. Bembry-O. Spellman-J. Adams,5.0
203473-1626147-1627761-1627816-1629027,D. Dedmon-J. Anderson-D. Bembry-A. Poythress-T. Young,5.0
203473-1627752-1628381-1628989-1629121,D. Dedmon-T. Prince-J. Collins-K. Huerter-J. Adams,5.0
1626147-1627738-1628381-1628989-1629027,J. Anderson-D. Davis-J. Collins-K. Huerter-T. Young,5.0
202391-203458-203473-1627761-1628989,J. Lin-A. Len-D. Dedmon-D. Bembry-K. Huerter,5.0
202391-203458-1627752-1629016-1629027,J. Lin-A. Len-T. Prince-O. Spellman-T. Young,5.0
202391-1627761-1628416-1629016-1629121,J. Lin-D. Bembry-T. Dorsey-O. Spellman-J. Adams,5.0
202391-203473-1627761-1627816-1628989,J. Lin-D. Dedmon-D. Bembry-A. Poythress-K. Huerter,5.0
202391-203473-1627761-1629016-1629027,J. Lin-D. Dedmon-D. Bembry-O. Spellman-T. Young,5.0
202391-203473-1628381-1628989-1629027,J. Lin-D. Dedmon-J. Collins-K. Huerter-T. Young,5.0
202391-203473-1627752-1627761-1628989,J. Lin-D. Dedmon-T. Prince-D. Bembry-K. Huerter,5.0
202391-1627772-1627816-1628989-1629016,J. Lin-D. Hamilton-A. Poythress-K. Huerter-O. Spellman,5.0
